0.4 0.1; 133.76973825 46.19515831 29.48543114 30.64960971; 0.10280471 0.10102113 0.10053252 0.10050727
0.4 0.1; 133.72052778 46.24296464 29.46484838 30.6755941; 0.1029169 0.10106198 0.10055382 0.10052756
0.4 0.1; 133.67131731 46.29077097 29.44426563 30.70157849; 0.10302908 0.10110282 0.10057512 0.10054785
0.4 0.1; 133.62210684 46.3385773 29.42368287 30.72756288; 0.10314127 0.10114367 0.10059642 0.10056815
0.4 0.1; 133.57289637 46.38638364 29.40310012 30.75354727; 0.10325346 0.10118451 0.10061772 0.10058844
0.4 0.1; 133.5236859 46.43418997 29.38251736 30.77953166; 0.10336565 0.10122536 0.10063902 0.10060873
0.4 0.1; 133.47447542 46.4819963 29.36193461 30.80551604; 0.10347784 0.10126621 0.10066032 0.10062902
0.4 0.1; 133.42526495 46.52980263 29.34135185 30.83150043; 0.10359003 0.10130705 0.10068162 0.10064931
0.4 0.1; 133.37605448 46.57760897 29.3207691 30.85748482; 0.10370221 0.1013479 0.10070292 0.1006696
0.4 0.1; 133.32684401 46.6254153 29.30018635 30.88346921; 0.1038144 0.10138874 0.10072422 0.10068989
0.4 0.1; 133.27763354 46.67322163 29.27960359 30.9094536; 0.10392659 0.10142959 0.10074552 0.10071018
0.4 0.1; 133.22842307 46.72102796 29.25902084 30.93543799; 0.10403878 0.10147043 0.10076682 0.10073047
0.4 0.1; 133.1792126 46.7688343 29.23843808 30.96142237; 0.10415097 0.10151128 0.10078812 0.10075076
0.4 0.1; 133.13000213 46.81664063 29.21785533 30.98740676; 0.10426316 0.10155212 0.10080942 0.10077106
0.4 0.1; 133.08079166 46.86444696 29.19727257 31.01339115; 0.10437534 0.10159297 0.10083072 0.10079135
0.4 0.1; 133.03158119 46.91225329 29.17668982 31.03937554; 0.10448753 0.10163381 0.10085203 0.10081164
0.4 0.1; 132.98237072 46.96005962 29.15610706 31.06535993; 0.10459972 0.10167466 0.10087333 0.10083193
0.4 0.1; 132.93316025 47.00786596 29.13552431 31.09134432; 0.10471191 0.1017155 0.10089463 0.10085222
0.4 0.1; 132.88394978 47.05567229 29.11494155 31.11732871; 0.1048241 0.10175635 0.10091593 0.10087251
0.4 0.1; 132.83473931 47.10347862 29.0943588 31.14331309; 0.10493629 0.10179719 0.10093723 0.1008928
0.4 0.1; 132.78552884 47.15128495 29.07377605 31.16929748; 0.10504847 0.10183804 0.10095853 0.10091309
0.4 0.1; 132.73631837 47.19909129 29.05319329 31.19528187; 0.10516066 0.10187889 0.10097983 0.10093338
0.4 0.1; 132.6871079 47.24689762 29.03261054 31.22126626; 0.10527285 0.10191973 0.10100113 0.10095367
0.4 0.1; 132.63789743 47.29470395 29.01202778 31.24725065; 0.10538504 0.10196058 0.10102243 0.10097396
0.4 0.1; 132.58868696 47.34251028 28.99144503 31.27323504; 0.10549723 0.10200142 0.10104373 0.10099426
0.4 0.1; 132.53947649 47.39031662 28.97086227 31.29921943; 0.10560941 0.10204227 0.10106503 0.10101455
0.4 0.1; 132.49026602 47.43812295 28.95027952 31.32520381; 0.1057216 0.10208311 0.10108633 0.10103484
0.4 0.1; 132.44105555 47.48592928 28.92969676 31.3511882; 0.10583379 0.10212396 0.10110763 0.10105513
0.4 0.1; 132.39184508 47.53373561 28.90911401 31.37717259; 0.10594598 0.1021648 0.10112893 0.10107542
0.4 0.1; 132.34263461 47.58154194 28.88853125 31.40315698; 0.10605817 0.10220565 0.10115023 0.10109571
0.4 0.1; 132.29342414 47.62934828 28.8679485 31.42914137; 0.10617036 0.10224649 0.10117153 0.101116
0.4 0.1; 132.24421367 47.67715461 28.84736575 31.45512576; 0.10628254 0.10228734 0.10119284 0.10113629
0.4 0.1; 132.1950032 47.72496094 28.82678299 31.48111015; 0.10639473 0.10232818 0.10121414 0.10115658
0.4 0.1; 132.14579273 47.77276727 28.80620024 31.50709453; 0.10650692 0.10236903 0.10123544 0.10117687
0.4 0.1; 132.09658226 47.82057361 28.78561748 31.53307892; 0.10661911 0.10240987 0.10125674 0.10119716
0.4 0.1; 132.04737179 47.86837994 28.76503473 31.55906331; 0.1067313 0.10245072 0.10127804 0.10121746
0.4 0.1; 131.99816132 47.91618627 28.74445197 31.5850477; 0.10684349 0.10249157 0.10129934 0.10123775
0.4 0.1; 131.94895085 47.9639926 28.72386922 31.61103209; 0.10695567 0.10253241 0.10132064 0.10125804
0.4 0.1; 131.89974038 48.01179894 28.70328646 31.63701648; 0.10706786 0.10257326 0.10134194 0.10127833
0.4 0.1; 131.85052991 48.05960527 28.68270371 31.66300086; 0.10718005 0.1026141 0.10136324 0.10129862
0.4 0.1; 131.80131944 48.1074116 28.66212095 31.68898525; 0.10729224 0.10265495 0.10138454 0.10131891
0.4 0.1; 131.75210897 48.15521793 28.6415382 31.71496964; 0.10740443 0.10269579 0.10140584 0.1013392
0.4 0.1; 131.7028985 48.20302426 28.62095545 31.74095403; 0.10751662 0.10273664 0.10142714 0.10135949
0.4 0.1; 131.65368803 48.2508306 28.60037269 31.76693842; 0.1076288 0.10277748 0.10144844 0.10137978
0.4 0.1; 131.60447756 48.29863693 28.57978994 31.79292281; 0.10774099 0.10281833 0.10146974 0.10140007
0.4 0.1; 131.55526709 48.34644326 28.55920718 31.8189072; 0.10785318 0.10285917 0.10149104 0.10142036
0.4 0.1; 131.50605662 48.39424959 28.53862443 31.84489158; 0.10796537 0.10290002 0.10151234 0.10144066
0.4 0.1; 131.45684615 48.44205593 28.51804167 31.87087597; 0.10807756 0.10294086 0.10153365 0.10146095
0.4 0.1; 131.40763568 48.48986226 28.49745892 31.89686036; 0.10818975 0.10298171 0.10155495 0.10148124
0.4 0.1; 131.35842521 48.53766859 28.47687616 31.92284475; 0.10830193 0.10302255 0.10157625 0.10150153
0.4 0.1; 131.30921474 48.58547492 28.45629341 31.94882914; 0.10841412 0.1030634 0.10159755 0.10152182
0.4 0.1; 131.26000427 48.63328126 28.43571065 31.97481353; 0.10852631 0.10310425 0.10161885 0.10154211
0.4 0.1; 131.2107938 48.68108759 28.4151279 32.00079792; 0.1086385 0.10314509 0.10164015 0.1015624
0.4 0.1; 131.16158333 48.72889392 28.39454515 32.0267823; 0.10875069 0.10318594 0.10166145 0.10158269
0.4 0.1; 131.11237286 48.77670025 28.37396239 32.05276669; 0.10886288 0.10322678 0.10168275 0.10160298
0.4 0.1; 131.06316239 48.82450658 28.35337964 32.07875108; 0.10897506 0.10326763 0.10170405 0.10162327
0.4 0.1; 131.01395192 48.87231292 28.33279688 32.10473547; 0.10908725 0.10330847 0.10172535 0.10164356
0.4 0.1; 130.96474145 48.92011925 28.31221413 32.13071986; 0.10919944 0.10334932 0.10174665 0.10166386
0.4 0.1; 130.91553098 48.96792558 28.29163137 32.15670425; 0.10931163 0.10339016 0.10176795 0.10168415
0.4 0.1; 130.86632051 49.01573191 28.27104862 32.18268864; 0.10942382 0.10343101 0.10178925 0.10170444
0.4 0.1; 130.81711004 49.06353825 28.25046586 32.20867302; 0.10953601 0.10347185 0.10181055 0.10172473
0.4 0.1; 130.76789957 49.11134458 28.22988311 32.23465741; 0.10964819 0.1035127 0.10183185 0.10174502
0.4 0.1; 130.7186891 49.15915091 28.20930035 32.2606418; 0.10976038 0.10355354 0.10185315 0.10176531
0.4 0.1; 130.66947863 49.20695724 28.1887176 32.28662619; 0.10987257 0.10359439 0.10187446 0.1017856
0.4 0.1; 130.62026816 49.25476358 28.16813485 32.31261058; 0.10998476 0.10363523 0.10189576 0.10180589
0.4 0.1; 130.57105769 49.30256991 28.14755209 32.33859497; 0.11009695 0.10367608 0.10191706 0.10182618
0.4 0.1; 130.52184722 49.35037624 28.12696934 32.36457935; 0.11020914 0.10371693 0.10193836 0.10184647
0.4 0.1; 130.47263674 49.39818257 28.10638658 32.39056374; 0.11032132 0.10375777 0.10195966 0.10186677
0.4 0.1; 130.42342627 49.4459889 28.08580383 32.41654813; 0.11043351 0.10379862 0.10198096 0.10188706
0.4 0.1; 130.3742158 49.49379524 28.06522107 32.44253252; 0.1105457 0.10383946 0.10200226 0.10190735
0.4 0.1; 130.32500533 49.54160157 28.04463832 32.46851691; 0.11065789 0.10388031 0.10202356 0.10192764
0.4 0.1; 130.27579486 49.5894079 28.02405556 32.4945013; 0.11077008 0.10392115 0.10204486 0.10194793
0.4 0.1; 130.22658439 49.63721423 28.00347281 32.52048569; 0.11088226 0.103962 0.10206616 0.10196822
0.4 0.1; 130.17737392 49.68502057 27.98289005 32.54647007; 0.11099445 0.10400284 0.10208746 0.10198851
0.4 0.1; 130.12816345 49.7328269 27.9623073 32.57245446; 0.11110664 0.10404369 0.10210876 0.1020088
0.4 0.1; 130.07895298 49.78063323 27.94172455 32.59843885; 0.11121883 0.10408453 0.10213006 0.10202909
0.4 0.1; 130.02974251 49.82843956 27.92114179 32.62442324; 0.11133102 0.10412538 0.10215136 0.10204938
0.4 0.1; 129.98053204 49.8762459 27.90055904 32.65040763; 0.11144321 0.10416622 0.10217266 0.10206967
0.4 0.1; 129.93132157 49.92405223 27.87997628 32.67639202; 0.11155539 0.10420707 0.10219396 0.10208997
0.4 0.1; 129.8821111 49.97185856 27.85939353 32.70237641; 0.11166758 0.10424791 0.10221527 0.10211026
0.4 0.1; 129.83290063 50.01966489 27.83881077 32.72836079; 0.11177977 0.10428876 0.10223657 0.10213055
0.4 0.1; 129.78369016 50.06747122 27.81822802 32.75434518; 0.11189196 0.10432961 0.10225787 0.10215084
0.4 0.1; 129.73447969 50.11527756 27.79764526 32.78032957; 0.11200415 0.10437045 0.10227917 0.10217113
0.4 0.1; 129.68526922 50.16308389 27.77706251 32.80631396; 0.11211634 0.1044113 0.10230047 0.10219142
0.4 0.1; 129.63605875 50.21089022 27.75647975 32.83229835; 0.11222852 0.10445214 0.10232177 0.10221171
0.4 0.1; 129.58684828 50.25869655 27.735897 32.85828274; 0.11234071 0.10449299 0.10234307 0.102232
0.4 0.1; 129.53763781 50.30650289 27.71531425 32.88426712; 0.1124529 0.10453383 0.10236437 0.10225229
0.4 0.1; 129.48842734 50.35430922 27.69473149 32.91025151; 0.11256509 0.10457468 0.10238567 0.10227258
0.4 0.1; 129.43921687 50.40211555 27.67414874 32.9362359; 0.11267728 0.10461552 0.10240697 0.10229287
0.4 0.1; 129.3900064 50.44992188 27.65356598 32.96222029; 0.11278947 0.10465637 0.10242827 0.10231317
0.4 0.1; 129.34079593 50.49772822 27.63298323 32.98820468; 0.11290165 0.10469721 0.10244957 0.10233346
0.4 0.1; 129.29158546 50.54553455 27.61240047 33.01418907; 0.11301384 0.10473806 0.10247087 0.10235375
0.4 0.1; 129.24237499 50.59334088 27.59181772 33.04017346; 0.11312603 0.1047789 0.10249217 0.10237404
0.4 0.1; 129.19316452 50.64114721 27.57123496 33.06615784; 0.11323822 0.10481975 0.10251347 0.10239433
0.4 0.1; 129.14395405 50.68895354 27.55065221 33.09214223; 0.11335041 0.10486059 0.10253477 0.10241462
0.4 0.1; 129.09474358 50.73675988 27.53006945 33.11812662; 0.1134626 0.10490144 0.10255608 0.10243491
0.4 0.1; 129.04553311 50.78456621 27.5094867 33.14411101; 0.11357478 0.10494229 0.10257738 0.1024552
0.4 0.1; 128.99632264 50.83237254 27.48890395 33.1700954; 0.11368697 0.10498313 0.10259868 0.10247549
0.4 0.1; 128.94711217 50.88017887 27.46832119 33.19607979; 0.11379916 0.10502398 0.10261998 0.10249578
0.4 0.1; 128.8979017 50.92798521 27.44773844 33.22206418; 0.11391135 0.10506482 0.10264128 0.10251607
0.4 0.1; 128.84869123 50.97579154 27.42715568 33.24804856; 0.11402354 0.10510567 0.10266258 0.10253637
0.4 0.1; 128.79948076 51.02359787 27.40657293 33.27403295; 0.11413573 0.10514651 0.10268388 0.10255666
0.4 0.1; 128.75027029 51.0714042 27.38599017 33.30001734; 0.11424791 0.10518736 0.10270518 0.10257695
0.4 0.1; 128.70105982 51.11921054 27.36540742 33.32600173; 0.1143601 0.1052282 0.10272648 0.10259724
0.4 0.1; 128.65184935 51.16701687 27.34482466 33.35198612; 0.11447229 0.10526905 0.10274778 0.10261753
0.4 0.1; 128.60263888 51.2148232 27.32424191 33.37797051; 0.11458448 0.10530989 0.10276908 0.10263782
0.4 0.1; 128.55342841 51.26262953 27.30365915 33.4039549; 0.11469667 0.10535074 0.10279038 0.10265811
0.4 0.1; 128.50421794 51.31043586 27.2830764 33.42993928; 0.11480886 0.10539158 0.10281168 0.1026784
0.4 0.1; 128.45500747 51.3582422 27.26249365 33.45592367; 0.11492104 0.10543243 0.10283298 0.10269869
0.4 0.1; 128.405797 51.40604853 27.24191089 33.48190806; 0.11503323 0.10547327 0.10285428 0.10271898
0.4 0.1; 128.35658653 51.45385486 27.22132814 33.50789245; 0.11514542 0.10551412 0.10287558 0.10273927
0.4 0.1; 128.30737606 51.50166119 27.20074538 33.53387684; 0.11525761 0.10555497 0.10289689 0.10275957
0.4 0.1; 128.25816559 51.54946753 27.18016263 33.55986123; 0.1153698 0.10559581 0.10291819 0.10277986
0.4 0.1; 128.20895512 51.59727386 27.15957987 33.58584561; 0.11548199 0.10563666 0.10293949 0.10280015
0.4 0.1; 128.15974465 51.64508019 27.13899712 33.61183; 0.11559417 0.1056775 0.10296079 0.10282044
0.4 0.1; 128.11053418 51.69288652 27.11841436 33.63781439; 0.11570636 0.10571835 0.10298209 0.10284073
0.4 0.1; 128.06132371 51.74069286 27.09783161 33.66379878; 0.11581855 0.10575919 0.10300339 0.10286102
0.4 0.1; 128.01211324 51.78849919 27.07724885 33.68978317; 0.11593074 0.10580004 0.10302469 0.10288131
0.4 0.1; 127.96290277 51.83630552 27.0566661 33.71576756; 0.11604293 0.10584088 0.10304599 0.1029016
0.4 0.1; 127.9136923 51.88411185 27.03608334 33.74175195; 0.11615511 0.10588173 0.10306729 0.10292189
0.4 0.1; 127.86448183 51.93191818 27.01550059 33.76773633; 0.1162673 0.10592257 0.10308859 0.10294218
0.4 0.1; 127.81527136 51.97972452 26.99491784 33.79372072; 0.11637949 0.10596342 0.10310989 0.10296248
0.4 0.1; 127.76606089 52.02753085 26.97433508 33.81970511; 0.11649168 0.10600426 0.10313119 0.10298277
0.4 0.1; 127.71685042 52.07533718 26.95375233 33.8456895; 0.11660387 0.10604511 0.10315249 0.10300306
0.4 0.1; 127.66763995 52.12314351 26.93316957 33.87167389; 0.11671606 0.10608595 0.10317379 0.10302335
0.4 0.1; 127.61842948 52.17094985 26.91258682 33.89765828; 0.11682824 0.1061268 0.10319509 0.10304364
0.4 0.1; 127.56921901 52.21875618 26.89200406 33.92364267; 0.11694043 0.10616765 0.10321639 0.10306393
0.4 0.1; 127.52000854 52.26656251 26.87142131 33.94962705; 0.11705262 0.10620849 0.1032377 0.10308422
0.4 0.1; 127.47079806 52.31436884 26.85083855 33.97561144; 0.11716481 0.10624934 0.103259 0.10310451
0.4 0.1; 127.42158759 52.36217518 26.8302558 34.00159583; 0.117277 0.10629018 0.1032803 0.1031248
0.4 0.1; 127.37237712 52.40998151 26.80967304 34.02758022; 0.11738919 0.10633103 0.1033016 0.10314509
0.4 0.1; 127.32316665 52.45778784 26.78909029 34.05356461; 0.11750137 0.10637187 0.1033229 0.10316538
